Date,Open,High,Low,Close,Volume
29-Nov-17,30700.00,31000.00,30250.00,30850.00,3278550
28-Nov-17,30750.00,31350.00,30400.00,30800.00,3057552
27-Nov-17,31300.00,31350.00,30600.00,30850.00,2609730
24-Nov-17,31100.00,32050.00,31100.00,31300.00,2620179
23-Nov-17,31800.00,31900.00,31100.00,31350.00,2519523
22-Nov-17,32200.00,32400.00,31400.00,31800.00,4955602
21-Nov-17,30100.00,31850.00,30050.00,31700.00,9204710
20-Nov-17,30250.00,30350.00,29800.00,29900.00,1877902
17-Nov-17,29600.00,30250.00,29400.00,30050.00,3459693
16-Nov-17,29400.00,29700.00,29150.00,29350.00,1894708
15-Nov-17,29300.00,29550.00,29000.00,29250.00,2398040
14-Nov-17,29850.00,29900.00,29200.00,29300.00,2735273
13-Nov-17,30550.00,30600.00,29650.00,29800.00,2937820
10-Nov-17,29950.00,30300.00,29550.00,30200.00,2591255
9-Nov-17,29350.00,29950.00,29150.00,29900.00,3614549
8-Nov-17,29550.00,29800.00,29100.00,29150.00,2800557
7-Nov-17,29550.00,29850.00,29400.00,29550.00,1866980
6-Nov-17,29750.00,29900.00,29400.00,29500.00,2239283
3-Nov-17,29700.00,30000.00,29500.00,29650.00,1912794
2-Nov-17,29700.00,30350.00,29600.00,29650.00,3498406
1-Nov-17,29200.00,29800.00,29200.00,29500.00,2412389
31-Oct-17,29600.00,29700.00,29100.00,29300.00,2706902
30-Oct-17,29950.00,30000.00,29400.00,29500.00,2311695
27-Oct-17,29050.00,29700.00,29050.00,29400.00,3191024
26-Oct-17,29400.00,29500.00,28900.00,28900.00,3395721
25-Oct-17,30000.00,30500.00,29300.00,29450.00,4226051
24-Oct-17,29750.00,29750.00,29150.00,29400.00,2300176
23-Oct-17,30550.00,30550.00,29600.00,29700.00,3058687
20-Oct-17,29150.00,30550.00,29150.00,30500.00,4994962
19-Oct-17,29000.00,29350.00,28900.00,29100.00,1734888
18-Oct-17,29050.00,29450.00,28700.00,28900.00,2058926
17-Oct-17,29550.00,29750.00,29000.00,29050.00,2432396
16-Oct-17,29150.00,29700.00,29000.00,29500.00,3477545
13-Oct-17,28550.00,29000.00,27850.00,29000.00,5760754
12-Oct-17,29900.00,30200.00,28700.00,28700.00,7371694
11-Oct-17,29800.00,30500.00,29750.00,30250.00,2741035
10-Oct-17,30600.00,30650.00,29650.00,29900.00,4520038
29-Sep-17,30550.00,30700.00,30200.00,30550.00,2411764
28-Sep-17,30800.00,30850.00,30300.00,30400.00,1877192
27-Sep-17,30600.00,30900.00,30250.00,30550.00,2372294
26-Sep-17,30750.00,31050.00,30450.00,30500.00,2422069
25-Sep-17,30750.00,31400.00,30300.00,30750.00,2878947
22-Sep-17,31450.00,31750.00,30700.00,30750.00,3239666
21-Sep-17,31800.00,32050.00,31200.00,31400.00,2541812
20-Sep-17,32200.00,32800.00,31350.00,31550.00,5572907
19-Sep-17,33850.00,33850.00,32000.00,32300.00,8099835
18-Sep-17,33800.00,34300.00,33650.00,34000.00,3286955
15-Sep-17,33550.00,34450.00,33350.00,33800.00,4273731
14-Sep-17,33200.00,34050.00,33200.00,33800.00,4919041
13-Sep-17,32700.00,33250.00,32500.00,32900.00,4666823
12-Sep-17,32300.00,32650.00,31950.00,32400.00,3431571
11-Sep-17,31900.00,32400.00,31800.00,31900.00,2302713
8-Sep-17,32200.00,32250.00,31400.00,31600.00,2338487
7-Sep-17,31900.00,32600.00,31650.00,31950.00,3506905
6-Sep-17,32200.00,32450.00,31450.00,31650.00,5801050
5-Sep-17,30400.00,32200.00,30350.00,32200.00,6363619
4-Sep-17,29950.00,30500.00,29850.00,30250.00,1612219
