2630000.00  , 0%
2760000.00  , -4%
2817000.00  , -6%
2754000.00  , -4%
2692000.00  , -2%
2732000.00  , -3%
2650000.00  , 0%
2481000.00  , 6%
2302000.00  , 14%
2376000.00  , 10%
2250000.00  , 16%
2389000.00  , 10%
2500000.00  , 5%
2524000.00  , 4%
2379000.00  , 10%
2414000.00  , 8%
2284000.00  , 15%
2297000.00  , 14%
2284000.00  , 15%
2319000.00  , 13%
2245000.00  , 17%
2014000.00  , 30%
2080000.00  , 26%
2060000.00  , 27%
2123000.00  , 23%
2030000.00  , 29%
1986000.00  , 32%
1933000.00  , 36%
1920000.00  , 36%
1973000.00  , 33%
1847000.00  , 42%
1861000.00  , 41%
1788000.00  , 47%
1795000.00  , 46%
1790000.00  , 46%
